streetmarker,count_vehiclepresent
15238E,32
15239S,27
15240E,30
15241S,33
15242E,724
15244E,986
15245S,1896
15246E,1516
15247S,1870
15248E,1763
15249S,1406
15250E,2230
15251S,1122
15252N,1036
15253S,1342
15254N,180
15255S,1119
15256N,714
15257S,952
15258N,1091
15259S,630
15260N,328
15261S,972
15262N,1224
15263W,432
15264N,42
15265W,39
15266N,826
15267W,45
15268N,21
15269W,38
1526E,365
15270N,777
15271W,649
15272N,10
15273W,33
15274N,594
15276N,17
15277W,1641
15278N,10
15279W,1608
15281W,2610
15283W,3977
15284N,714
15285W,1095
15286N,593
15287W,377
15288N,1479
15290N,1139
15291W,40
15292N,112
15293W,30
15294N,30
15296N,1007
15297W,18
15298N,45
15299W,28
15300E,30
15302E,100
15303W,26
15304E,28
15305W,33
15306E,36
15307W,492
15308E,587
15309W,43
1530E,369
15310E,24
15312E,30
15314E,13
15316E,26
15318E,24
15320E,18
15322E,73
15324E,41
15326E,44
15328E,37
1532E,435
15330E,46
15332E,19
15334E,605
15336E,238
15338E,352
15340E,39
15342E,657
15344E,1444
1536E,492
1540E,12166
1542E,9152
1544E,9886
1546E,13165
1547W,16105
1549W,18160
15500N,2070
15502N,2272
15504N,2908
15506N,4629
15508N,3727
1550E,4845
15510N,4134
15512N,4700
15514N,3396
15516N,3436
15518N,3645
15520N,3585
15522N,4537
15524N,4280
15526N,4195
15528N,5619
1552E,4951
15530N,2451
15532N,4768
15534N,5067
15536N,5298
15538N,4302
15540N,4257
15542N,3760
15544N,2113
15546N,3984
15548N,2929
15550N,50
15552N,23
15554N,19
15556N,2103
15558N,29
1555W,16043
15560N,47
1557W,8838
1559W,9406
15600E,318
15601W,721
15602E,131
15603W,482
15604E,409
15605W,294
15606E,605
15607W,37
15608E,29
15609W,22
15610E,44
15611W,199
15612E,469
15613W,80
15614E,1370
15615W,34
15616E,1294
15617W,30
15618E,20
15619W,25
15621W,18
15623W,35
15625W,32
1563W,6821
1567W,6971
1568N,15670
15701S,1672
15703S,1236
15705S,1126
15707S,841
15709S,827
15713S,332
15717S,1274
15719S,874
15721S,1417
15723S,1554
15725S,966
15727S,798
15729S,682
15731S,654
15733S,204
15735S,656
15737S,1056
15739S,565
15741S,1156
15743S,944
15745S,830
15747S,948
15751S,1246
15753S,850
15755S,1752
15757S,1690
15759S,1186
1579S,7399
1581S,9301
1583S,9948
1595W,2870
1596N,6527
1597W,2013
1599W,992
16000N,1920
16001S,1155
16002N,1541
16003S,1349
16004N,1130
16005S,633
16006N,1153
16007S,931
16008N,1131
16009S,1932
16010N,1048
16011S,1732
16012N,916
16013S,1263
16014N,993
16015S,1102
16016N,949
16017S,878
16018N,1010
16019S,561
1601S,4619
1601W,2108
16020N,980
16022N,831
16024N,979
16026N,990
16028N,953
16030N,986
16032N,828
16034N,706
16036N,835
16038N,797
1603S,5178
1603W,2487
16040N,673
16042N,419
1605S,5741
1605W,2952
1607S,6238
1607W,3782
1609S,6077
1611S,7487
1613S,8939
1615S,9383
1617S,12760
1660N,10793
1662N,9584
1664N,9177
1685W,5879
1687W,6852
1689W,5900
1691S,3819
1693S,4350
1695S,4312
1697S,4916
1699S,5088
16E,2911
1703S,4776
1705S,5965
1707S,6162
1708N,6817
1709S,4996
1710N,5896
1711S,2834
1712N,5080
1713S,5237
1714N,7357
1716N,7650
1718N,5546
1722N,7972
1723S,7156
1725S,6913
1729S,9992
1732N,3616
1734N,3974
1736N,4304
1773S,6805
1775S,7484
1777S,6533
1785S,8244
1787S,4901
1789S,4278
1808E,2540
1810E,4359
1812E,3959
1847S,4499
1849S,6088
1851S,1021
1858N,8072
1861S,6421
1862N,3878
1863S,9680
1864N,3624
1866N,3773
1868N,3489
1869S,4465
1870N,3726
1871S,4601
1872N,1006
1873S,4396
1881S,5952
1882N,4743
1883S,7364
1884N,1888
1890N,5260
1892N,6208
1894N,5343
1895S,9456
1896N,6033
1897S,11428
1898N,6033
1899S,5540
18E,4155
1903S,7597
1906N,10211
1908N,9998
1910N,9370
1912N,9890
1914N,9095
1916N,9073
1918N,7854
1920N,6150
1973S,19016
1978N,6955
1979S,14212
1979Sa,15466
1980N,10248
1982N,8735
1984N,8515
1986N,8260
1988N,11422
1999S,6792
20001W,152
20002E,1391
20005W,913
20007W,502
20009W,1013
2000N,154160
20010E,2734
20011W,1934
20013W,2021
20014E,1890
20015W,2042
20016E,542
20017W,1188
20018E,699
20020E,871
20021W,2343
20023W,2329
20025W,2410
20027W,1087
20029W,1589
2002N,60900
20030E,978
20031W,2323
20032E,991
20033W,2176
20034E,1097
20035W,1078
20037W,920
20039W,2328
20041W,1923
20043W,1263
20045W,2055
20047W,1331
20049W,1795
20051W,812
20052E,3148
20053W,899
20055W,1041
20057W,2150
20059W,1591
20061W,1374
20062E,2946
20063W,1297
20064E,1986
20065W,1128
20066E,1781
20067W,1228
20068E,2293
20069W,1941
20070E,2138
20071W,1556
20072E,1846
20073W,1127
20074E,9
20075W,982
20076E,1032
20077W,1263
20078E,244
20079W,2283
20080E,412
20081W,1127
20084E,695
20086E,1161
20088E,1606
20094E,1074
20096E,1276
20098E,1344
20100E,1101
20102E,1129
20104E,736
20106E,305
20111W,1779
20113W,1826
20114E,1074
20115W,1110
20116E,275
20117W,1501
20120E,154
20121W,2223
20123W,1887
20125W,1756
20127W,1121
20129W,1038
20131W,987
20133W,1112
20135W,1688
20137W,966
20139W,1144
20141W,911
20143W,1892
20145W,1353
20147W,1184
20149W,1628
20151W,1056
20153W,2147
20155W,1465
20157W,1291
20175W,1062
20177W,1704
20178N,940
20179S,846
20180N,1080
20181S,1019
20182N,1423
20183S,1060
20184N,848
20185S,780
20186N,1054
20187S,1346
20188N,1124
20189S,625
20191S,782
20192N,970
20193S,703
20194N,1163
20195S,791
20196N,1534
20197S,935
20198N,1524
20199S,1119
20200N,1969
20201S,1243
20202N,1893
20203S,1583
20204N,930
20205S,1665
20206N,890
20207S,1706
20208N,1046
20209S,1739
20211S,1754
20212N,798
20213S,1874
20214N,956
20215S,1389
20216N,761
20217S,1282
20218N,910
20219S,1004
20220N,619
20221S,790
20222N,1347
20223S,437
20224N,1068
20225S,861
20226N,829
20227S,918
20228N,1259
20229S,697
20230N,1037
20231S,630
20232N,792
20233S,817
20234N,1463
20235S,524
20236N,1443
20237S,605
20238N,786
20239S,776
20241S,954
20242N,1169
20243S,765
20244N,564
20245S,730
20247S,1222
20248N,611
20249S,706
20251S,1323
20252N,682
20253S,1398
20254N,712
20255S,1422
20256N,772
20257S,1452
20258N,847
20259S,1473
20260E,233
20261S,1767
20262E,190
20263S,1889
20264E,315
20265S,1159
20266E,378
20267S,991
20268E,258
20269S,2079
20270E,378
20271S,2314
20272E,270
20273S,1388
20274E,1368
20275S,854
20276E,1348
20277S,53
20278E,1204
20279S,995
20280E,372
20281S,1235
20282E,1094
20283W,390
20284E,1532
20285W,298
20286E,1319
20287W,717
20288E,1015
20289W,513
20290E,1078
20291W,579
20292E,864
20293W,829
20294E,1045
20295W,1424
20296E,953
20297W,1652
20298E,901
20299W,1407
20300E,1107
20301W,1486
20302E,47
20303W,1234
20304E,656
20305W,1010
20306E,851
20307W,901
20308E,826
20309W,1224
20310E,716
20312E,985
20314E,721
20315W,1060
20317W,461
20318E,799
20319W,657
20320E,698
20321W,587
20322E,955
20323W,480
20324E,424
20325W,498
20326E,572
20327W,560
20328E,834
20329W,841
