streetmarker,count_vehiclepresent
1002E,1256
10044N,264
10048N,180
10049S,12968
10051S,13738
10053S,6921
10055S,14923
1006E,3186
10100E,1425
10102E,1126
10103W,2090
10105W,1889
10107W,1887
10111W,1977
10113W,1860
10115W,1934
10116E,3698
10117W,2037
10118E,2239
10119W,1903
10120E,2050
10121W,2259
10122E,2158
10124E,2810
10141W,1070
10151W,4185
10153W,7449
10155W,6955
10157W,8198
10159W,8875
10160E,12082
10162E,12799
10164E,12923
10166E,11410
10167W,10222
10168E,10013
10169W,7685
10170E,12424
10171W,7508
10173W,9052
10174E,9282
10176E,8888
10177W,10672
10178E,8449
10179W,8482
10180E,7302
10181W,8489
10182E,7052
10183W,8374
10184E,6690
10185W,8550
10186E,6952
10187W,10500
10188E,7403
10189W,10482
10190E,5875
10191W,9242
10192E,7362
10193W,10021
10194E,8042
10195W,8972
10196E,9614
10197W,9093
10198E,6614
10199W,12052
101W,6728
10200E,6444
102E,3593
10324E,709
10326E,577
10328E,659
10330E,612
10332E,674
10336E,803
10338E,932
103W,3733
105W,3640
106E,3826
10E,3146
110E,3891
1112E,4416
114E,3285
11501S,2912
11502N,1713
11503S,5210
11504N,1860
11505S,2537
11506N,2081
11507S,1871
11508N,2521
11509S,1951
11510N,1399
11511S,2067
11512N,2110
11513S,1479
11514N,2070
11515S,1545
11516N,2762
11517S,1454
11518N,2785
11519S,2226
11520N,2733
11521S,2166
11522N,3968
11523S,2243
11524N,4481
11525S,2692
11526N,3706
11527S,2816
11528N,2613
11529S,3017
11531S,4166
11533S,4549
11535S,1235
11537S,3232
11539S,4257
1155W,6415
1157W,7502
11600N,1936
11601S,3230
11603S,3199
11605S,3416
11607S,3278
11700E,2417
11702E,4385
11703W,2243
11705W,2214
11707W,2219
11708E,6540
11709W,2341
11710E,6775
11712E,7053
11714E,9378
11716E,7122
11718E,4355
11720E,5239
11722E,5154
11724E,2523
11726E,1170
11730E,2578
11740E,332
11742E,1
11744E,233
11745W,1833
11746E,591
11747W,1789
11748E,441
11749W,1754
11750E,365
11751W,1940
11752E,770
11753W,1943
11754E,651
11756E,606
11758E,739
1175W,6561
11760E,1158
11762E,1127
11764E,799
11766E,415
11768E,199
1177W,7085
11780E,2286
11782E,2097
11783W,1982
11784E,2045
11785W,2725
11786E,2042
11788E,2086
11800E,2861
11802E,2082
11804E,2055
11806E,2351
11808E,2161
11810E,2191
11812E,1856
11814E,1318
11816E,1291
11818E,1263
11820E,1429
11822E,1444
11824E,1714
11826E,1802
11828E,1583
11830E,1575
11832E,1626
11834E,1746
11836E,1335
11838E,1572
11840E,1278
11842E,1141
11844E,1380
11846E,1250
11848E,1335
11850E,1421
11852E,1133
11854E,1085
11856E,1343
11858E,1225
11860E,996
11862E,1252
11866E,2226
11868E,2151
11870E,2515
11871W,3121
11872E,2322
11873W,2004
11874E,2103
11875W,1739
11876E,2119
11877W,1806
11878E,2330
11879W,1933
11880E,2143
11881W,2760
11882E,2289
11883W,1746
11884E,2241
11885W,2337
11886E,2243
11887W,1803
11888E,2261
11889W,1928
1188E,8805
11890E,2094
11891W,2348
11892E,2178
11893W,2362
11894E,1965
11895W,2476
11896E,2178
11897W,2610
11899W,2596
118E,3205
11901W,4001
11921W,853
11923W,1229
11925W,1610
11927W,1618
11929W,2210
1192E,7833
11931W,2072
11933W,1644
11935W,1468
11937W,1393
11939W,1413
11941W,1504
11943W,1536
11945W,1550
11947W,1550
11949W,1461
1194E,13023
11951W,1502
11953W,1327
11955W,1231
11957W,1514
11959W,1286
11961W,1418
11963W,1586
11967W,1201
11969W,1128
11971W,1176
11973W,1203
11975W,991
11977W,1280
11979W,1317
11981W,1117
11983W,1380
11985W,1156
11987W,1134
11989W,975
1198E,8647
11991W,1229
11993W,1015
11995W,1588
11997W,1346
11999W,1205
12001W,1252
12003W,1505
12005W,1526
12007W,1717
12009W,1513
1200E,5060
12011W,1509
12013W,1595
12015W,1398
12017W,1773
12019W,1690
1201W,2846
12021W,1691
12023W,1682
12025W,1841
12027W,1785
12029W,1674
12031W,1830
12033W,1940
12035W,2131
12037W,2398
1203W,4249
12041W,2143
12042E,3376
12043W,2411
12044E,3607
12045W,2530
12046E,3423
12047W,2529
12049W,2596
12050E,1846
12051W,2710
12052E,1459
12053W,3034
12054E,1618
12055W,2820
12056E,1593
12057W,3157
12059W,3511
1205W,4276
12060E,5816
12061W,3807
12062E,1642
12063W,3357
12065W,2802
12066E,2548
12067W,2612
12068E,1860
12069W,2529
12070E,1884
12071W,2461
12072E,1988
12073W,2552
12074E,2030
12075W,2587
12076E,1889
12077W,2542
12078E,2198
12079W,2719
1207W,3875
12080E,2230
12081W,2587
12082E,2140
12083W,2536
12084E,2110
12085W,2352
12086E,2297
12087W,2154
12088E,2387
12089W,2424
12090E,2483
12091W,2322
12092E,2693
12093W,2602
12094E,2647
12095W,2358
12096E,2745
12098E,2755
12099W,1187
1209W,4342
12100E,2620
12101W,840
12102E,2687
12103W,377
12104E,2570
12105W,1448
12106E,2938
12107W,948
12109W,1797
12111W,1298
12113W,1762
12117W,4982
12119W,6079
1211W,4249
1213W,3892
1215W,4976
12200N,4956
12202N,5088
12204N,4290
12206N,4590
12208N,4588
12210N,4914
12212N,5978
12214N,8189
12219S,11752
12221S,8103
12223S,7749
12225S,9640
12227S,6336
12229S,5904
12231S,8016
12233S,5692
12235S,5513
12237S,6380
12239S,5312
12241S,6182
12243S,5706
12247S,5500
12249S,5683
12251S,5513
12253S,5482
1228E,6095
122E,3084
12320N,2318
12321S,4555
12322N,2231
12323S,4421
12324N,3665
12325S,3880
12326N,4052
12327S,3685
12328N,2528
12329S,3733
1232E,4945
12330N,2584
12331S,3737
12334N,2424
12335S,5355
12336N,2370
12337S,3075
12338N,2526
12339S,3045
12340N,3590
12341S,2999
12342N,2034
12343S,4037
12345S,2643
12347S,2714
12349S,2163
12351S,2143
12353S,1957
12355S,2199
12357S,2174
12358N,3023
12359S,2195
12360N,3547
12361S,1941
12363S,2358
12365S,2113
12366N,4614
12367S,2052
12369S,2102
1236E,5837
12371S,2192
12373S,2210
12375S,1836
12377S,2211
12380N,2509
12381S,3215
12382N,2366
12383S,2359
12384N,2245
12385S,2480
12386N,2274
12387S,2423
12388N,2159
12389S,2055
12390N,2262
12391S,1898
12392N,2106
12393S,2155
12394N,2116
12395S,2317
12396N,2210
12397S,2095
12398N,2143
12399S,2061
12400N,1808
12401S,2091
12402N,1691
12404N,2095
12406N,2053
12408N,2144
12410N,2027
12412N,1738
12414N,1630
12416N,1691
12418N,1599
12420N,1295
12422N,1738
12431S,3087
12433S,2532
12435S,2220
12436N,3018
12437S,2496
12438N,2343
12439S,2021
12440N,2283
12441S,2106
12442N,2544
12443S,2617
12444N,2681
12445S,1910
12446N,2054
12447S,1726
12448N,2180
12449S,1899
12450N,2313
12451S,1579
12453S,2511
12455S,1942
12457S,2113
12459S,2255
12461S,1801
12463S,1662
12465S,2237
12467S,2107
12469S,2025
12471S,1557
12477S,1887
12479S,2318
12481S,1917
12483S,2423
12485S,2256
12487S,2360
12502N,844
12504N,6582
12506N,2774
12508N,1923
12510N,1554
12512N,1566
12514N,1593
12516N,1483
12518N,1558
12520N,1341
12522N,1503
12524N,1320
12526N,1641
12528N,1706
12530N,1298
12531S,1448
12532N,1276
12533S,1889
12534N,1389
12535S,1412
12536N,951
12537S,1355
12538N,1342
12539S,1291
12540N,695
12541S,1205
12542N,1138
12543S,1486
12544N,1169
12545S,1245
12546N,1088
12547S,1302
12548N,1176
12549S,1446
12550N,1303
12551S,1323
12552N,1412
12553S,1315
12554N,853
12555S,1593
12556N,1196
12557S,1293
12558N,1213
12559S,1176
12560N,1092
12561S,1387
12562N,1284
12563S,3730
12564N,850
12565S,1595
12566N,1126
12567S,1417
12568N,772
12569S,1456
12570N,725
12571S,1274
12573S,1476
1263W,2596
1265W,278
126E,2761
12800N,2194
12801S,2082
12802N,2479
12803S,1297
12804N,2673
12805S,1840
12806N,2884
12807S,1703
12808N,2044
12809S,1157
12810N,1910
12811S,1445
12812N,1541
12813S,1301
12814N,1012
12816N,1452
1287W,8573
1289W,8245
12900N,4779
12901S,1603
12902N,5221
12904N,2902
12905S,2003
12906N,4125
12907S,2638
12908N,2406
12909S,1942
12910N,2937
12911S,2205
12912N,2161
12914N,2456
1291W,8814
1295W,5734
1297W,5511
1299W,6060
12E,3984
13000N,12954
13001S,11
13003S,8583
13005S,756
13006N,4375
13007S,10821
13008N,4070
13009S,5292
13010N,4017
13011S,4420
13012N,3244
13013S,3990
13014N,4890
13015S,4966
13017S,4966
13018N,89856
13019S,5391
1301W,5401
13020N,21648
13021S,6331
13022N,2415
13024N,2030
13028N,2887
13030N,2218
13031S,9880
13032N,2453
13033S,8598
13034N,2310
13035S,1939
13036N,2370
13037S,2812
13038N,2615
13039S,2881
13040N,2905
13041S,2759
13042N,2510
13043S,1418
13044N,2815
13045S,4254
13046N,2754
13048N,3108
13050N,2992
13052N,3848
13054N,8780
13056N,5211
13059S,11925
1305W,73
13061S,7506
1307W,93
13081S,3868
13083S,11741
13085S,12540
13087S,3282
13090N,5093
13092N,3421
13094N,3761
13095W,1941
13097W,3345
13099W,3632
1309W,1693
130E,2702
13101W,4099
13103W,4909
13105W,5218
1311W,34
1313W,2602
1315W,5728
1316E,6395
1319W,5365
13200N,4426
13201S,3613
13203S,3122
13205S,3400
13206N,12
13207S,3459
13209S,3190
13210N,11
13211S,3549
13212N,8
13213S,3170
13214N,76
13215S,6222
13216N,36
13217S,3489
13218N,40
13219S,3175
1321W,8329
13221S,3743
13223S,5393
13225S,1947
13227S,1810
13228N,5066
13229S,4259
13230N,5875
13231S,7061
13232N,4672
13233S,3451
13234N,4063
13235S,4653
13236N,2221
13237S,1657
13238N,2038
13239S,1546
13240N,5829
13241S,2989
13242N,3625
13244N,4197
13245S,2915
13246N,5233
13247S,2960
13248N,4204
13249S,3497
13250N,4406
13251S,4977
13252N,1895
13253S,6716
13254N,2795
13256N,1955
13258N,2498
13260N,3303
13262N,2572
13264N,7534
13266N,6291
13268N,3751
13269S,2158
13270N,3591
13271S,1486
13272N,3555
13273S,1342
13274N,4206
13275S,1379
13276N,4075
13277S,2489
13278N,4367
13279S,2425
13280N,4208
13281S,2173
13282N,3656
13283S,2415
13285S,1446
13296E,3213
13298E,2631
13300E,2360
13301S,3272
13301W,1738
13302E,2442
13303S,4928
13303W,2229
13304E,1285
13304N,3650
13305W,1576
13306E,2240
13306N,4357
13307W,2124
13308E,1493
13309W,1261
13310E,2012
13310N,2552
13311W,1821
13312E,1599
13312N,2190
13313W,1222
13314E,1625
13315W,1751
13316E,1332
13317W,1111
13318E,2936
13319W,1721
13320E,1555
13321W,1335
13322E,5630
13323W,2031
13324E,4968
13325W,1497
13326E,2779
13327W,2326
13328E,6694
13329W,6469
13330E,5129
13331W,4011
13332E,5090
13334E,5191
13335W,3264
13336E,5035
13337W,2860
13338E,4568
13339W,2254
13340E,3039
13341W,3209
13342E,4117
13343W,3470
13344E,3095
13345W,3363
13346E,3116
13347W,3655
13348E,3196
13349W,2417
13350E,4433
13351W,5370
13352E,2160
13353W,4086
13354E,3374
13356E,3064
13358E,2059
13360E,2328
13361W,2188
13363W,1974
13365W,1563
13367W,2723
13369W,2252
13371W,2370
13373W,2565
13375W,2537
13377W,2535
13381W,5271
13396E,2177
13397W,2921
13398E,2480
13399W,1376
13400E,2323
13401W,1629
13402E,2313
13403W,2258
13406E,2179
13408E,3669
13410E,5881
13412E,2960
13414E,1269
13415W,2182
13416E,8232
13418E,6767
13420E,3129
13422E,2638
13424E,2859
13426E,2727
13428E,2621
13430E,4667
13432E,5332
13434E,5325
13436E,5021
13438E,5387
13440E,5357
13442E,4486
13444E,2933
13446E,1673
13448E,2623
13450E,2547
13452E,2537
13454E,514
13456E,2378
13458E,1561
13462E,1755
13464E,2009
13466E,2202
13468E,4605
13472E,3004
13474E,3113
13476E,3315
13478E,1680
13480E,2813
13482E,2269
13484E,2283
13488E,2671
1349W,9
134E,2236
13518E,2349
1351W,4014
13520E,2439
1353W,1397
1354E,1237
1355W,2986
1356E,2885
13576E,4906
13580E,6401
13584E,3064
13586E,3960
13588E,728
1358E,2938
13600E,10079
13602E,7936
13604E,7011
13606E,6935
13608E,6274
1360E,2696
13610E,5117
13612E,5432
13614E,3000
13616E,1707
13617W,1873
13618E,14
13619W,4303
13620E,2474
13621W,1182
13622E,2357
13623W,2368
13624E,2596
13625W,5726
13626E,2996
13627W,3225
13628E,2880
13629W,1475
1362E,2638
13630E,2250
13631W,1397
13632E,1611
13633W,1555
13634E,1640
13635W,1553
13636E,2339
13637W,1309
13638E,1779
13639W,1700
13641W,1601
13642E,2476
13643W,1273
13644E,1738
13645W,2272
13646E,1020
13647W,2406
13648E,1874
13649W,1942
1364E,2625
13650E,1787
13651W,1947
13652E,1770
13653W,1905
13654E,1969
13655W,1639
13656E,1798
13658E,1716
13659W,177
13660E,1645
13661W,48
13662E,1781
13664E,2125
13665W,2485
13666E,3956
13667W,2659
13668E,2968
13669W,2477
13670E,2366
13671W,2554
13673W,3167
13675W,3610
13677W,3505
13679W,3667
13681W,2193
13683W,1673
13685W,2104
13687W,2180
13689W,1525
13691W,1771
13693W,1491
13695W,2014
13697W,1085
13699W,1799
13701W,2065
13703W,1884
13705W,2109
13709W,1944
13711W,1761
13713W,1876
13715W,3029
13717W,3284
13720E,2557
13722E,2230
13723W,3459
13724E,2261
13725W,4626
13726E,2198
13728E,2215
13730E,2242
13732E,2848
13734E,3341
13736E,2413
13738E,2540
13740E,2460
13742E,2610
13743W,97
13745W,69
13747W,103
13748E,2497
13749W,94
13750E,2418
13751W,3
13752E,3115
13753W,280
13754E,2664
13755W,886
13756E,3959
13757W,5433
13758E,83
13759W,11
13760E,75
13761W,6
13762E,4212
13763W,14
13765W,22
13767W,26
13769W,6924
13770E,90
13771W,114
13772E,101
13773W,5420
13774E,17
13775W,5802
13777W,6064
13778E,100
13779W,2332
13780E,3422
13781W,3114
13782E,4463
13783W,2783
13784E,4171
13785W,2582
13786E,5319
13787W,2640
13789W,2307
13790E,88
13791W,2199
13792E,38
13794E,5949
13796E,6680
13800N,164
13802N,3537
13804N,4345
13807S,5196
13808N,6349
13809S,11298
13810N,2659
13817S,2479
13819S,3073
1381W,4237
13821S,555
13822N,1955
13823S,2365
13824N,1954
13825S,2634
13826N,1897
13827S,2037
13828N,1794
13829S,2233
13831S,2046
13832N,86
13833S,1878
13834N,2794
13835S,1750
13836N,2500
13837S,7181
13838N,76
13839S,4906
1383W,3448
13840N,98
13841S,6589
13843S,6855
13844N,134
13845S,5073
13846N,149
13847S,9108
13848N,148
13849S,7179
1384E,11854
13850N,91
13851S,6765
13852N,107
13853S,4804
13854N,25
13855S,4488
13856N,550
13857S,6995
13858N,1431
13859S,3903
1385W,3628
13860N,1644
13861S,7732
13862N,1468
13864N,1730
13866N,3691
13868N,2733
1386E,13518
13870N,2317
13872N,4162
13874N,3258
13876N,3205
13878N,4252
1388E,8650
138E,2114
13904E,5927
13906E,5789
13908E,4663
1390E,7672
13910E,6020
13911W,1650
13912E,4772
13913W,1658
13915W,4894
13916E,6538
13917W,2611
13918E,4625
13919W,2802
13920E,3387
13921W,2871
13922E,3210
1392E,7824
1393W,560
1394E,8802
1395W,5042
1396E,8361
1397W,7284
1398E,11743
14000E,1806
14002E,2166
14004E,1895
14008E,2436
1400E,11431
14010E,1961
14012E,2182
14014E,2105
14016E,1963
14018E,1430
1401W,4510
14020E,1765
14022E,1812
14024E,1663
14026E,1624
14028E,1617
1402E,14209
14030E,1727
14032E,1560
14034E,1621
14036E,1683
14038E,1452
1403W,4178
14040E,1500
14042E,1515
14044E,1470
14046E,1533
14048E,1530
1404E,8832
14050E,1458
14052E,1525
14054E,1612
14056E,1471
14058E,1496
1405W,3972
14060E,1591
14068E,1680
1406E,10463
14070E,1399
14072E,1769
14078E,1778
1407W,4760
14080E,1639
14082E,1535
14084E,1644
14086E,1461
14088E,1674
1408E,9765
14090E,1669
14092E,1828
14094E,3135
14096E,2656
14098E,1676
1409W,4628
14100E,1633
14102E,1511
14104E,1270
14106E,1522
14108E,1130
1410E,7476
14110E,1263
14112E,1495
1411W,3559
1412E,6901
1413W,778
1414E,7078
1416E,346
1418E,5914
14201W,2025
14203W,2268
14205W,1971
1420E,6171
14213W,1409
14215W,1643
14217W,1711
14219W,1611
1421W,1032
14221W,1581
14223W,1517
14225W,1399
14227W,1466
14229W,1628
14231W,2395
14233W,1946
14235W,1403
14237W,1309
14239W,1490
1423W,781
14241W,1379
14243W,1177
14245W,1222
14247W,1276
14249W,1144
1424E,8970
14251W,1210
14253W,1230
14255W,1447
14257W,1135
14259W,925
1425W,5933
14261W,1030
14263W,549
14265W,1556
1427W,5878
1429W,5460
1431W,6054
1433W,5358
1435W,5280
1437W,6580
1439W,5168
1441W,5337
1443W,5751
1444E,5626
1445W,6262
1447W,325
1448E,5907
1449W,6170
1450E,7042
1451W,7037
1452E,6721
1453W,4888
1454E,5651
1455W,4400
1456E,5678
1457W,3359
1458E,6865
1461W,12884
1462E,18387
1463W,11568
1464E,14655
1465W,9984
1466E,11971
1468E,10594
1470E,11710
1472E,10631
1473W,6461
1475W,6154
1478E,10637
1480E,7771
1481W,5674
1483W,4870
1485W,4040
1489W,6695
1490E,10159
1492E,9036
1494E,11904
14E,3361
15001W,1478
15002E,1143
15003W,1119
15004E,1093
15005W,614
15006E,1136
15007W,747
15008E,1119
15009W,833
15010E,1157
15011W,722
15012E,982
15013W,1071
15014E,992
15015W,714
15016E,1071
15017W,797
15018E,1195
15019W,965
15020E,915
15021W,507
15022E,976
15023W,528
15024E,1098
15025W,884
15026E,1138
15027W,612
15029W,561
15030E,1109
15032E,1177
15033W,628
15034E,1223
15035W,898
15036E,1346
15037W,662
15038E,1424
15039W,854
15040E,1142
15041W,892
15042E,1426
15043W,892
15044E,1138
15045W,849
15046E,1595
15047W,1278
15048E,1571
15049W,1315
15050E,1723
15051W,791
15052E,2728
15053W,829
15055W,56
15056E,68
15057W,1124
15058E,601
15059W,1156
15061W,44
15063W,20
15065W,53
15066E,2320
15067W,700
15068E,51
15069W,864
15070E,1487
15071W,1368
15072E,1998
15073W,1245
15074E,2130
15075W,1019
15076E,1737
15077W,1982
15078E,1380
15079W,2498
15080E,2524
15081W,413
15082E,3059
15083W,663
15084E,2189
15085W,389
15086E,1682
15087W,558
15088E,2002
15089W,480
15090E,1892
15091W,91
15092E,2149
15093W,725
15094E,1838
15095W,812
15096E,1555
15097W,383
15098E,1295
15099W,1241
15100E,1281
15101W,898
15102N,950
15104N,1001
15105W,452
15106N,1445
15107W,276
15108N,1262
15109W,40
15110N,1203
15111W,44
15112N,1416
15113W,1201
15114N,1581
15115W,1067
15116N,1345
15118N,1625
15119W,38
15120N,2157
15121W,828
15122N,1958
15123W,1787
15124N,1647
15125S,1003
15126N,1486
15127S,2039
15128N,1880
15129S,2231
1512E,7814
15130N,2458
15131S,1531
15132N,2355
15133S,1608
15134N,1700
15135S,1857
15136N,969
15137S,1281
15138N,1044
15139S,1494
15140N,1078
15141S,1453
15142N,1097
15143S,1340
15144N,1208
15145S,1391
15146N,1152
15147S,1372
15148N,1072
15149S,1328
1514E,6769
15150N,1101
15151S,1372
15152N,1091
15153S,1421
15154N,1021
15155S,1240
15156N,1043
15157S,1470
15158N,961
15159S,1489
15160N,995
15161S,1312
15162N,983
15163S,1482
15164N,940
15166N,1012
15167S,1529
15168N,964
15169S,1175
1516E,5686
15170N,974
15171S,1329
15172N,1002
15173S,1493
15174N,1029
15175S,1316
15176N,1008
15177S,1465
15178N,1039
15179S,1349
15180N,1803
15181S,1103
15182N,1820
15183S,860
15184N,1759
15186N,1428
15187S,1312
15188N,1962
15189S,199
1518E,11210
15190N,1962
15191S,652
15192N,1705
15193S,1085
15194N,1476
15195S,1612
15196E,549
15197S,1338
15198E,37
15199S,1441
15200E,373
15201S,1307
15202E,852
15204E,659
15205S,1370
15206E,49
15207S,1250
15208E,47
15209S,1363
15210E,35
15211S,826
15212E,32
15213S,1069
15214E,27
15216E,47
15217S,578
15218E,33
15219S,532
15220E,36
15221S,1104
15222E,27
15224E,12
15225S,127
15226E,16
15227S,578
15228E,28
15229S,21
15230E,17
15231S,29
15232E,27
15233S,53
15234E,30
15235S,812
15236E,100
15237S,31
