bay_id,st_marker_id,lat,lon,location
3904,C5720,-37.80533675854116,144.95524230909845,"{'latitude': '-37.80533675854116', 'longitude': '144.95524230909845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4293,C6922,-37.80941294082535,144.95598468844753,"{'latitude': '-37.80941294082535', 'longitude': '144.95598468844753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3565,7091S,-37.80900153817465,144.9534755228143,"{'latitude': '-37.80900153817465', 'longitude': '144.9534755228143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4274,C6884,-37.8093259183127,144.95579728354494,"{'latitude': '-37.8093259183127', 'longitude': '144.95579728354494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3197,5444E,-37.807953687580905,144.95479673649325,"{'latitude': '-37.807953687580905', 'longitude': '144.95479673649325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3998,C5964,-37.803803046432606,144.95401565882918,"{'latitude': '-37.803803046432606', 'longitude': '144.95401565882918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3960,C5888,-37.80495470294587,144.95381007070802,"{'latitude': '-37.80495470294587', 'longitude': '144.95381007070802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4287,C6910,-37.80920996860398,144.95588179462618,"{'latitude': '-37.80920996860398', 'longitude': '144.95588179462618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4202,C6690,-37.80875387217788,144.9583956929061,"{'latitude': '-37.80875387217788', 'longitude': '144.9583956929061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3546,7066N,-37.80861227506381,144.9543020355954,"{'latitude': '-37.80861227506381', 'longitude': '144.9543020355954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3936,C5788,-37.80411018285281,144.95546281852842,"{'latitude': '-37.80411018285281', 'longitude': '144.95546281852842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3925,C5766,-37.804470128247665,144.95539811485625,"{'latitude': '-37.804470128247665', 'longitude': '144.95539811485625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3806,C5448,-37.80756750837079,144.9544912071891,"{'latitude': '-37.80756750837079', 'longitude': '144.9544912071891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5181,C8014,-37.810500628557676,144.95237272746522,"{'latitude': '-37.810500628557676', 'longitude': '144.95237272746522', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3879,C5654,-37.80664245576149,144.9550131565751,"{'latitude': '-37.80664245576149', 'longitude': '144.9550131565751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4279,C6894,-37.80929055733951,144.9558667226908,"{'latitude': '-37.80929055733951', 'longitude': '144.9558667226908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3663,7622N,-37.804984510900766,144.9487256136694,"{'latitude': '-37.804984510900766', 'longitude': '144.9487256136694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3930,C5776,-37.80434280466035,144.95542100312656,"{'latitude': '-37.80434280466035', 'longitude': '144.95542100312656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3939,C5794,-37.80401038177662,144.9554807587221,"{'latitude': '-37.80401038177662', 'longitude': '144.9554807587221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3932,C5780,-37.80421007960622,144.95544486202414,"{'latitude': '-37.80421007960622', 'longitude': '144.95544486202414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2321,2884N,-37.81086765834064,144.96676222197016,"{'latitude': '-37.81086765834064', 'longitude': '144.96676222197016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3807,C5450,-37.80754350767742,144.95448039110647,"{'latitude': '-37.80754350767742', 'longitude': '144.95448039110647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3956,C5880,-37.805049362625496,144.9537931885639,"{'latitude': '-37.805049362625496', 'longitude': '144.9537931885639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3193,5419W,-37.80823444070779,144.9546771997277,"{'latitude': '-37.80823444070779', 'longitude': '144.9546771997277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3267,5824E,-37.80678413595104,144.95351785207032,"{'latitude': '-37.80678413595104', 'longitude': '144.95351785207032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2749,4580E,-37.80793927082333,144.96599596432765,"{'latitude': '-37.80793927082333', 'longitude': '144.96599596432765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4248,C6828,-37.80938773145017,144.95563994568715,"{'latitude': '-37.80938773145017', 'longitude': '144.95563994568715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3398,6239W,-37.805874010410136,144.95078756712493,"{'latitude': '-37.805874010410136', 'longitude': '144.95078756712493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3416,6265S,-37.80775320631275,144.96615764256336,"{'latitude': '-37.80775320631275', 'longitude': '144.96615764256336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3920,C5754,-37.80469658766741,144.9553573821334,"{'latitude': '-37.80469658766741', 'longitude': '144.9553573821334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4005,C6048,-37.80605009204831,144.95210596139026,"{'latitude': '-37.80605009204831', 'longitude': '144.95210596139026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4245,C6822,-37.80950645408079,144.9556160095626,"{'latitude': '-37.80950645408079', 'longitude': '144.9556160095626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5266,4531W,-37.81074527389115,144.95299777390767,"{'latitude': '-37.81074527389115', 'longitude': '144.95299777390767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4046,C6130,-37.80438686504067,144.95239853304048,"{'latitude': '-37.80438686504067', 'longitude': '144.95239853304048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4020,C6078,-37.80511953669214,144.95226842413223,"{'latitude': '-37.80511953669214', 'longitude': '144.95226842413223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4376,C7186,-37.80750619198183,144.95302924456635,"{'latitude': '-37.80750619198183', 'longitude': '144.95302924456635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5875,C9202,-37.79848480646727,144.96551685131993,"{'latitude': '-37.79848480646727', 'longitude': '144.96551685131993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4371,C7176,-37.80742646322691,144.95319331349833,"{'latitude': '-37.80742646322691', 'longitude': '144.95319331349833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4111,C6374,-37.804078905415935,144.95094698339892,"{'latitude': '-37.804078905415935', 'longitude': '144.95094698339892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1470,1773S,-37.816713050808474,144.9662354050186,"{'latitude': '-37.816713050808474', 'longitude': '144.9662354050186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3382,6207W,-37.80630677783586,144.950984602318,"{'latitude': '-37.80630677783586', 'longitude': '144.950984602318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7055,4684Ea,-37.80504558257059,144.95920805769492,"{'latitude': '-37.80504558257059', 'longitude': '144.95920805769492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
8335,C7736C,-37.80314956292773,144.9505000421462,"{'latitude': '-37.80314956292773', 'longitude': '144.9505000421462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2669,10178E,-37.80410451447679,144.94953261336826,"{'latitude': '-37.80410451447679', 'longitude': '144.94953261336826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4024,C6086,-37.80502683874597,144.9522851177424,"{'latitude': '-37.80502683874597', 'longitude': '144.9522851177424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3376,6195W,-37.806544410687636,144.9510926353886,"{'latitude': '-37.806544410687636', 'longitude': '144.9510926353886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5232,11518N,-37.81181041473464,144.95177886825996,"{'latitude': '-37.81181041473464', 'longitude': '144.95177886825996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5874,C9198,-37.79848168467851,144.96548768683328,"{'latitude': '-37.79848168467851', 'longitude': '144.96548768683328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5259,4517W,-37.81114875079743,144.95318599123723,"{'latitude': '-37.81114875079743', 'longitude': '144.95318599123723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4405,C7244,-37.807950605621684,144.95211398570711,"{'latitude': '-37.807950605621684', 'longitude': '144.95211398570711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4397,C7228,-37.80783289251717,144.95235641598873,"{'latitude': '-37.80783289251717', 'longitude': '144.95235641598873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
