,rd_seg_id,marker_id,rd_seg_dsc,geometry,centroid,lati,long,area_m2,bay_id,status
18,23247,4949W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.95795871891 -37.807244188619, 144.95790095108 -37.807237722996, 144.957905361103 -37.807212918905, 144.957962902425 -37.807219359871, 144.95795871891 -37.807244188619)))",POINT (144.9579319818413 -37.80722855570342),-37.80722855570342,144.9579319818413,8.738903731810616,,Unknown
19,23247,4993W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.958055848532 -37.806673424268, 144.957999976693 -37.806667170009, 144.958004459263 -37.80664344047, 144.958060066123 -37.806649664899, 144.958055848532 -37.806673424268)))",POINT (144.9580300859616 -37.80665843432275),-37.80665843432275,144.95803008596158,8.092561396496304,,Unknown
20,20013,3166N,Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.956530763211 -37.813853310761, 144.956470390889 -37.813870548748, 144.956462348804 -37.813852821847, 144.956522732858 -37.813835611102, 144.956530763211 -37.813853310761)))",POINT (144.9564965512535 -37.81385307532275),-37.81385307532275,144.95649655125348,7.237867097789372,,Unknown
21,23247,4947W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.957954942645 -37.807267345538, 144.957896827142 -37.80726092435, 144.957900952215 -37.807237723016, 144.95795871891 -37.807244188619, 144.957954942645 -37.807267345538)))",POINT (144.9579278413153 -37.80725255465345),-37.80725255465345,144.9579278413153,8.199483298762821,,Unknown
22,23247,4955W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.957971576118 -37.807168754247, 144.957914348417 -37.807162351168, 144.957918670813 -37.807137882596, 144.957975677572 -37.807143523052, 144.957971576118 -37.807168754247)))",POINT (144.9579452052415 -37.80715315490746),-37.80715315490746,144.95794520524146,8.656280303860608,,Unknown
23,23247,5011W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.95809924003 -37.806420229759, 144.958044140605 -37.806414062812, 144.958048653192 -37.806387551861, 144.958103704064 -37.806393295311, 144.95809924003 -37.806420229759)))",POINT (144.9580740042267 -37.80640379731737),-37.806403797317365,144.95807400422666,8.978364576367287,,Unknown
24,23247,4963W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.957994186358 -37.80703466113, 144.957937617861 -37.807028328971, 144.957942057075 -37.807002711622, 144.957998914333 -37.80700907492, 144.957994186358 -37.80703466113)))",POINT (144.957968196064 -37.80701868332958),-37.80701868332958,144.95796819606397,8.873924109350128,,Unknown
25,23247,4951W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.957962902425 -37.807219359871, 144.957905361103 -37.807212918905, 144.957909949047 -37.80718709867, 144.957967168769 -37.807193503416, 144.957962902425 -37.807219359871)))",POINT (144.9579363433083 -37.8072032322894),-37.8072032322894,144.95793634330832,9.053729062173701,,Unknown
26,23247,C5004,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.958221067477 -37.806532109063, 144.958155452801 -37.806525022681, 144.95815943376 -37.806501811625, 144.95822504955 -37.806508898025, 144.958221067477 -37.806532109063)))",POINT (144.9581902509262 -37.80651696031872),-37.806516960318724,144.95819025092624,9.294297171741196,,Unknown
27,23247,5003W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.958082673523 -37.806520197438, 144.958027230399 -37.806513557715, 144.958031186556 -37.80649025882, 144.958086607639 -37.806496461089, 144.958082673523 -37.806520197438)))",POINT (144.9580570077692 -37.80650513178138),-37.80650513178138,144.9580570077692,7.962656763517896,,Unknown
