st_marker_id,status,db_read_time
11518N,Unoccupied,2021-08-27 19:20:18.571722
C6992,Unoccupied,2021-08-27 19:20:18.571722
C6936,Present,2021-08-27 19:20:18.571722
12533S,Unoccupied,2021-08-27 19:20:18.571722
C7200,Unoccupied,2021-08-27 19:20:18.571722
12904N,Present,2021-08-27 19:20:18.571722
6051W,Present,2021-08-27 19:20:18.571722
12011W,Unoccupied,2021-08-27 19:20:18.571722
13274N,Present,2021-08-27 19:20:18.571722
9443S,Unoccupied,2021-08-27 19:20:18.571722
C5800,Unoccupied,2021-08-27 19:20:18.571722
12910N,Unoccupied,2021-08-27 19:20:18.571722
12534N,Unoccupied,2021-08-27 19:20:18.571722
5808E,Unoccupied,2021-08-27 19:20:18.571722
15166N,Unoccupied,2021-08-27 19:20:18.571722
15156N,Unoccupied,2021-08-27 19:20:18.571722
6227W,Present,2021-08-27 19:20:18.571722
11953W,Unoccupied,2021-08-27 19:20:18.571722
7656N,Unoccupied,2021-08-27 19:20:18.571722
C6642,Present,2021-08-27 19:20:18.571722
8887W,Unoccupied,2021-08-27 19:20:18.571722
6584N,Present,2021-08-27 19:20:18.571722
2855S,Unoccupied,2021-08-27 19:20:18.571722
11929W,Present,2021-08-27 19:20:18.571722
C6912,Unoccupied,2021-08-27 19:20:18.571722
12041W,Present,2021-08-27 19:20:18.571722
C7160,Unoccupied,2021-08-27 19:20:18.571722
C6126,Present,2021-08-27 19:20:18.571722
C5466,Unoccupied,2021-08-27 19:20:18.571722
6032E,Present,2021-08-27 19:20:18.571722
7646N,Present,2021-08-27 19:20:18.571722
7554N,Present,2021-08-27 19:20:18.571722
11973W,Unoccupied,2021-08-27 19:20:18.571722
7590N,Unoccupied,2021-08-27 19:20:18.571722
7584N,Unoccupied,2021-08-27 19:20:18.571722
12569S,Unoccupied,2021-08-27 19:20:18.571722
12568N,Unoccupied,2021-08-27 19:20:18.571722
C5740,Present,2021-08-27 19:20:18.571722
11947W,Unoccupied,2021-08-27 19:20:18.571722
12005W,Unoccupied,2021-08-27 19:20:18.571722
C7226,Unoccupied,2021-08-27 19:20:18.571722
673W,Unoccupied,2021-08-27 19:20:18.571722
9449S,Present,2021-08-27 19:20:18.571722
4468E,Unoccupied,2021-08-27 19:20:18.571722
1914N,Unoccupied,2021-08-27 19:20:18.571722
11983W,Unoccupied,2021-08-27 19:20:18.571722
C5546,Unoccupied,2021-08-27 19:20:18.571722
C6170,Unoccupied,2021-08-27 19:20:18.571722
C6140,Unoccupied,2021-08-27 19:20:18.571722
7336E,Unoccupied,2021-08-27 19:20:18.571722
10107W,Unoccupied,2021-08-27 19:20:18.571722
C6066,Unoccupied,2021-08-27 19:20:18.571722
C6090,Unoccupied,2021-08-27 19:20:18.571722
C5746,Unoccupied,2021-08-27 19:20:18.571722
11987W,Present,2021-08-27 19:20:18.571722
C5632,Unoccupied,2021-08-27 19:20:18.571722
6669S,Present,2021-08-27 19:20:18.571722
C9138,Present,2021-08-27 19:20:18.571722
C5724,Present,2021-08-27 19:20:18.571722
12042E,Unoccupied,2021-08-27 19:20:18.571722
12549S,Unoccupied,2021-08-27 19:20:18.571722
C6940,Present,2021-08-27 19:20:18.571722
11975W,Unoccupied,2021-08-27 19:20:18.571722
10190E,Present,2021-08-27 19:20:18.571722
C6840,Unoccupied,2021-08-27 19:20:18.571722
5820E,Unoccupied,2021-08-27 19:20:18.571722
C6906,Unoccupied,2021-08-27 19:20:18.571722
C6054,Unoccupied,2021-08-27 19:20:18.571722
10192E,Present,2021-08-27 19:20:18.571722
4666Ea,Unoccupied,2021-08-27 19:20:18.571722
10176E,Present,2021-08-27 19:20:18.571722
11981W,Unoccupied,2021-08-27 19:20:18.571722
10182E,Unoccupied,2021-08-27 19:20:18.571722
789W,Unoccupied,2021-08-27 19:20:18.571722
C7152,Unoccupied,2021-08-27 19:20:18.571722
C828,Unoccupied,2021-08-27 19:20:18.571722
C5792,Present,2021-08-27 19:20:18.571722
C6154,Present,2021-08-27 19:20:18.571722
12013W,Unoccupied,2021-08-27 19:20:18.571722
C5572,Unoccupied,2021-08-27 19:20:18.571722
C7162,Unoccupied,2021-08-27 19:20:18.571722
9447S,Present,2021-08-27 19:20:18.571722
C5728,Present,2021-08-27 19:20:18.571722
10164E,Present,2021-08-27 19:20:18.571722
C6074,Present,2021-08-27 19:20:18.571722
12908N,Unoccupied,2021-08-27 19:20:18.571722
6267S,Present,2021-08-27 19:20:18.571722
C7154,Unoccupied,2021-08-27 19:20:18.571722
C5742,Unoccupied,2021-08-27 19:20:18.571722
C5552,Unoccupied,2021-08-27 19:20:18.571722
C6080,Unoccupied,2021-08-27 19:20:18.571722
C818,Unoccupied,2021-08-27 19:20:18.571722
4482E,Unoccupied,2021-08-27 19:20:18.571722
6660N,Present,2021-08-27 19:20:18.571722
C7738,Unoccupied,2021-08-27 19:20:18.571722
11951W,Unoccupied,2021-08-27 19:20:18.571722
C6952,Unoccupied,2021-08-27 19:20:18.571722
C7736A,Present,2021-08-27 19:20:18.571722
C7168,Unoccupied,2021-08-27 19:20:18.571722
C5748,Unoccupied,2021-08-27 19:20:18.571722
C9190,Unoccupied,2021-08-27 19:20:18.571722
13044N,Unoccupied,2021-08-27 19:20:18.571722
C6088,Unoccupied,2021-08-27 19:20:18.571722
649W,Present,2021-08-27 19:20:18.571722
7073S,Unoccupied,2021-08-27 19:20:18.571722
7577S,Unoccupied,2021-08-27 19:20:18.571722
13073S,Unoccupied,2021-08-27 19:20:18.571722
C7702,Unoccupied,2021-08-27 19:20:18.571722
5147W,Present,2021-08-27 19:20:18.571722
C5498,Unoccupied,2021-08-27 19:20:18.571722
C6040,Unoccupied,2021-08-27 19:20:18.571722
7739S,Unoccupied,2021-08-27 19:20:18.571722
5828E,Present,2021-08-27 19:20:18.571722
5060E,Unoccupied,2021-08-27 19:20:18.571722
C6882,Present,2021-08-27 19:20:18.571722
10153W,Unoccupied,2021-08-27 19:20:18.571722
7670N,Unoccupied,2021-08-27 19:20:18.571722
C7216,Unoccupied,2021-08-27 19:20:18.571722
5816E,Unoccupied,2021-08-27 19:20:18.571722
12001W,Present,2021-08-27 19:20:18.571722
7566N,Unoccupied,2021-08-27 19:20:18.571722
645W,Present,2021-08-27 19:20:18.571722
5848E,Unoccupied,2021-08-27 19:20:18.571722
C6860,Unoccupied,2021-08-27 19:20:18.571722
C9142,Present,2021-08-27 19:20:18.571722
C6828,Unoccupied,2021-08-27 19:20:18.571722
6231W,Present,2021-08-27 19:20:18.571722
5850E,Unoccupied,2021-08-27 19:20:18.571722
7066N,Unoccupied,2021-08-27 19:20:18.571722
12914N,Unoccupied,2021-08-27 19:20:18.571722
5149W,Unoccupied,2021-08-27 19:20:18.571722
7084N,Present,2021-08-27 19:20:18.571722
C6966,Unoccupied,2021-08-27 19:20:18.571722
C6106,Unoccupied,2021-08-27 19:20:18.571722
C9150,Unoccupied,2021-08-27 19:20:18.571722
647W,Present,2021-08-27 19:20:18.571722
15146N,Unoccupied,2021-08-27 19:20:18.571722
C674,Unoccupied,2021-08-27 19:20:18.571722
C6918,Unoccupied,2021-08-27 19:20:18.571722
C7688,Unoccupied,2021-08-27 19:20:18.571722
12573S,Unoccupied,2021-08-27 19:20:18.571722
C6116,Unoccupied,2021-08-27 19:20:18.571722
C8018,Unoccupied,2021-08-27 19:20:18.571722
7733S,Unoccupied,2021-08-27 19:20:18.571722
C6830,Unoccupied,2021-08-27 19:20:18.571722
C6052,Unoccupied,2021-08-27 19:20:18.571722
C7712,Unoccupied,2021-08-27 19:20:18.571722
C688,Unoccupied,2021-08-27 19:20:18.571722
C6166,Present,2021-08-27 19:20:18.571722
12565S,Unoccupied,2021-08-27 19:20:18.571722
12557S,Unoccupied,2021-08-27 19:20:18.571722
C7744,Present,2021-08-27 19:20:18.571722
C6822,Present,2021-08-27 19:20:18.571722
11989W,Unoccupied,2021-08-27 19:20:18.571722
C5438,Present,2021-08-27 19:20:18.571722
11522N,Unoccupied,2021-08-27 19:20:18.571722
10117W,Unoccupied,2021-08-27 19:20:18.571722
5052E,Unoccupied,2021-08-27 19:20:18.571722
9439S,Unoccupied,2021-08-27 19:20:18.571722
5844E,Unoccupied,2021-08-27 19:20:18.571722
10171W,Unoccupied,2021-08-27 19:20:18.571722
3938N,Unoccupied,2021-08-27 19:20:18.571722
C6112,Unoccupied,2021-08-27 19:20:18.571722
11991W,Unoccupied,2021-08-27 19:20:18.571722
4684Ea,Unoccupied,2021-08-27 19:20:18.571722
C9134,Unoccupied,2021-08-27 19:20:18.571722
7642N,Unoccupied,2021-08-27 19:20:18.571722
5082E,Unoccupied,2021-08-27 19:20:18.571722
C5524,Unoccupied,2021-08-27 19:20:18.571722
C9170,Unoccupied,2021-08-27 19:20:18.571722
1910N,Unoccupied,2021-08-27 19:20:18.571722
5826E,Unoccupied,2021-08-27 19:20:18.571722
C5532,Unoccupied,2021-08-27 19:20:18.571722
C680,Present,2021-08-27 19:20:18.571722
C5950,Present,2021-08-27 19:20:18.571722
4686Ea,Present,2021-08-27 19:20:18.571722
C6856,Unoccupied,2021-08-27 19:20:18.571722
C5764,Unoccupied,2021-08-27 19:20:18.571722
C6350,Unoccupied,2021-08-27 19:20:18.571722
C6042,Unoccupied,2021-08-27 19:20:18.571722
C7684,Unoccupied,2021-08-27 19:20:18.571722
6187W,Unoccupied,2021-08-27 19:20:18.571722
C6352,Unoccupied,2021-08-27 19:20:18.571722
7575S,Unoccupied,2021-08-27 19:20:18.571722
C6710,Present,2021-08-27 19:20:18.571722
C5962,Unoccupied,2021-08-27 19:20:18.571722
5437W,Unoccupied,2021-08-27 19:20:18.571722
C6056,Unoccupied,2021-08-27 19:20:18.571722
6659S,Unoccupied,2021-08-27 19:20:18.571722
C8022,Present,2021-08-27 19:20:18.571722
12564N,Unoccupied,2021-08-27 19:20:18.571722
15144N,Unoccupied,2021-08-27 19:20:18.571722
6203W,Unoccupied,2021-08-27 19:20:18.571722
659W,Unoccupied,2021-08-27 19:20:18.571722
12570N,Unoccupied,2021-08-27 19:20:18.571722
10118E,Unoccupied,2021-08-27 19:20:18.571722
C7682,Unoccupied,2021-08-27 19:20:18.571722
C5946,Unoccupied,2021-08-27 19:20:18.571722
6668N,Unoccupied,2021-08-27 19:20:18.571722
10188E,Present,2021-08-27 19:20:18.571722
4702Ea,Present,2021-08-27 19:20:18.571722
3707S,Present,2021-08-27 19:20:18.571722
9455S,Unoccupied,2021-08-27 19:20:18.571722
781W,Present,2021-08-27 19:20:18.571722
C6850,Unoccupied,2021-08-27 19:20:18.571722
7099S,Unoccupied,2021-08-27 19:20:18.571722
4586E,Unoccupied,2021-08-27 19:20:18.571722
1918N,Unoccupied,2021-08-27 19:20:18.571722
10159W,Present,2021-08-27 19:20:18.571722
661W,Unoccupied,2021-08-27 19:20:18.571722
1920N,Unoccupied,2021-08-27 19:20:18.571722
655W,Unoccupied,2021-08-27 19:20:18.571722
C5704,Present,2021-08-27 19:20:18.571722
C7204,Unoccupied,2021-08-27 19:20:18.571722
C5780,Present,2021-08-27 19:20:18.571722
7724N,Unoccupied,2021-08-27 19:20:18.571722
8871W,Unoccupied,2021-08-27 19:20:18.571722
5351W,Unoccupied,2021-08-27 19:20:18.571722
C6938,Unoccupied,2021-08-27 19:20:18.571722
C6988,Unoccupied,2021-08-27 19:20:18.571722
C5760,Unoccupied,2021-08-27 19:20:18.571722
10191W,Present,2021-08-27 19:20:18.571722
C5650,Unoccupied,2021-08-27 19:20:18.571722
4682Ea,Present,2021-08-27 19:20:18.571722
7597S,Unoccupied,2021-08-27 19:20:18.571722
5822E,Unoccupied,2021-08-27 19:20:18.571722
C696,Unoccupied,2021-08-27 19:20:18.571722
780E,Present,2021-08-27 19:20:18.571722
C6926,Unoccupied,2021-08-27 19:20:18.571722
7664N,Unoccupied,2021-08-27 19:20:18.571722
C744,Unoccupied,2021-08-27 19:20:18.571722
C6368,Present,2021-08-27 19:20:18.571722
C6960,Present,2021-08-27 19:20:18.571722
C6348,Unoccupied,2021-08-27 19:20:18.571722
C6360,Unoccupied,2021-08-27 19:20:18.571722
6233W,Unoccupied,2021-08-27 19:20:18.571722
3944N,Unoccupied,2021-08-27 19:20:18.571722
C6086,Unoccupied,2021-08-27 19:20:18.571722
13046N,Unoccupied,2021-08-27 19:20:18.571722
C6846,Unoccupied,2021-08-27 19:20:18.571722
4590E,Unoccupied,2021-08-27 19:20:18.571722
7572N,Unoccupied,2021-08-27 19:20:18.571722
12901S,Present,2021-08-27 19:20:18.571722
767Wa,Present,2021-08-27 19:20:18.571722
775W,Present,2021-08-27 19:20:18.571722
795W,Present,2021-08-27 19:20:18.571722
10162E,Present,2021-08-27 19:20:18.571722
5068E,Present,2021-08-27 19:20:18.571722
C7164,Unoccupied,2021-08-27 19:20:18.571722
10167W,Present,2021-08-27 19:20:18.571722
10120E,Unoccupied,2021-08-27 19:20:18.571722
C6886,Unoccupied,2021-08-27 19:20:18.571722
C814,Present,2021-08-27 19:20:18.571722
C6144,Unoccupied,2021-08-27 19:20:18.571722
C5562,Unoccupied,2021-08-27 19:20:18.571722
7576N,Present,2021-08-27 19:20:18.571722
C6060,Unoccupied,2021-08-27 19:20:18.571722
6173W,Unoccupied,2021-08-27 19:20:18.571722
686E,Unoccupied,2021-08-27 19:20:18.571722
7644N,Unoccupied,2021-08-27 19:20:18.571722
10170E,Present,2021-08-27 19:20:18.571722
10160E,Present,2021-08-27 19:20:18.571722
2531S,Unoccupied,2021-08-27 19:20:18.571722
9417S,Unoccupied,2021-08-27 19:20:18.571722
5072E,Unoccupied,2021-08-27 19:20:18.571722
7580N,Present,2021-08-27 19:20:18.571722
2529S,Present,2021-08-27 19:20:18.571722
10113W,Unoccupied,2021-08-27 19:20:18.571722
7680N,Unoccupied,2021-08-27 19:20:18.571722
12900N,Present,2021-08-27 19:20:18.571722
C740,Unoccupied,2021-08-27 19:20:18.571722
C5624,Unoccupied,2021-08-27 19:20:18.571722
11961W,Unoccupied,2021-08-27 19:20:18.571722
C5774,Unoccupied,2021-08-27 19:20:18.571722
C9114,Unoccupied,2021-08-27 19:20:18.571722
C5790,Unoccupied,2021-08-27 19:20:18.571722
10174E,Present,2021-08-27 19:20:18.571722
C7238,Unoccupied,2021-08-27 19:20:18.571722
C5420,Present,2021-08-27 19:20:18.571722
6219W,Present,2021-08-27 19:20:18.571722
C5954,Present,2021-08-27 19:20:18.571722
10196E,Unoccupied,2021-08-27 19:20:18.571722
10183W,Present,2021-08-27 19:20:18.571722
643W,Unoccupied,2021-08-27 19:20:18.571722
C6836,Present,2021-08-27 19:20:18.571722
1916N,Unoccupied,2021-08-27 19:20:18.571722
1773S,Unoccupied,2021-08-27 19:20:18.571722
C7726,Present,2021-08-27 19:20:18.571722
C5714,Unoccupied,2021-08-27 19:20:18.571722
7090N,Unoccupied,2021-08-27 19:20:18.571722
C6872,Unoccupied,2021-08-27 19:20:18.571722
771W,Present,2021-08-27 19:20:18.571722
C684,Unoccupied,2021-08-27 19:20:18.571722
10166E,Unoccupied,2021-08-27 19:20:18.571722
6263S,Present,2021-08-27 19:20:18.571722
9461S,Unoccupied,2021-08-27 19:20:18.571722
2527S,Present,2021-08-27 19:20:18.571722
4476E,Unoccupied,2021-08-27 19:20:18.571722
C6136,Unoccupied,2021-08-27 19:20:18.571722
C6898,Unoccupied,2021-08-27 19:20:18.571722
4688Ea,Unoccupied,2021-08-27 19:20:18.571722
C7246,Unoccupied,2021-08-27 19:20:18.571722
7337W,Present,2021-08-27 19:20:18.571722
6663S,Unoccupied,2021-08-27 19:20:18.571722
C6958,Unoccupied,2021-08-27 19:20:18.571722
C6176,Unoccupied,2021-08-27 19:20:18.571722
C810,Present,2021-08-27 19:20:18.571722
5088E,Present,2021-08-27 19:20:18.571722
3688N,Unoccupied,2021-08-27 19:20:18.571722
C7714,Unoccupied,2021-08-27 19:20:18.571722
C9122,Present,2021-08-27 19:20:18.571722
C7112,Present,2021-08-27 19:20:18.571722
C7196,Unoccupied,2021-08-27 19:20:18.571722
2895S,Unoccupied,2021-08-27 19:20:18.571722
C6868,Unoccupied,2021-08-27 19:20:18.571722
10168E,Unoccupied,2021-08-27 19:20:18.571722
787W,Present,2021-08-27 19:20:18.571722
11943W,Unoccupied,2021-08-27 19:20:18.571722
633W,Present,2021-08-27 19:20:18.571722
C9166,Present,2021-08-27 19:20:18.571722
4503W,Unoccupied,2021-08-27 19:20:18.571722
9459S,Present,2021-08-27 19:20:18.571722
770E,Unoccupied,2021-08-27 19:20:18.571722
3692N,Unoccupied,2021-08-27 19:20:18.571722
797W,Unoccupied,2021-08-27 19:20:18.571722
C8006,Present,2021-08-27 19:20:18.571722
4700Ea,Present,2021-08-27 19:20:18.571722
10189W,Present,2021-08-27 19:20:18.571722
2899S,Present,2021-08-27 19:20:18.571722
C8014,Present,2021-08-27 19:20:18.571722
783W,Unoccupied,2021-08-27 19:20:18.571722
C9106,Unoccupied,2021-08-27 19:20:18.571722
11528N,Unoccupied,2021-08-27 19:20:18.571722
C7198,Unoccupied,2021-08-27 19:20:18.571722
6540N,Unoccupied,2021-08-27 19:20:18.571722
11507S,Present,2021-08-27 19:20:18.571722
7578N,Unoccupied,2021-08-27 19:20:18.571722
