st_marker_id,status,db_read_time
15197S,Present,2021-08-27 19:20:18.571722
15199S,Unoccupied,2021-08-27 19:20:18.571722
13040N,Unoccupied,2021-08-27 19:20:18.571722
8901W,Present,2021-08-27 19:20:18.571722
7088N,Unoccupied,2021-08-27 19:20:18.571722
12046E,Present,2021-08-27 19:20:18.571722
4483W,Unoccupied,2021-08-27 19:20:18.571722
3930N,Present,2021-08-27 19:20:18.571722
12003W,Unoccupied,2021-08-27 19:20:18.571722
91W,Unoccupied,2021-08-27 19:20:18.571722
C7202,Unoccupied,2021-08-27 19:20:18.571722
6044E,Unoccupied,2021-08-27 19:20:18.571722
15006E,Unoccupied,2021-08-27 19:20:18.571722
C6636,Present,2021-08-27 19:20:18.571722
12017W,Unoccupied,2021-08-27 19:20:18.571722
12029W,Unoccupied,2021-08-27 19:20:18.571722
12111W,Unoccupied,2021-08-27 19:20:18.571722
C13664,Unoccupied,2021-08-27 19:20:18.571722
2380N,Unoccupied,2021-08-27 19:20:18.571722
C9000,Unoccupied,2021-08-27 19:20:18.571722
4450E,Unoccupied,2021-08-27 19:20:18.571722
12809S,Unoccupied,2021-08-27 19:20:18.571722
12804N,Unoccupied,2021-08-27 19:20:18.571722
3945S,Unoccupied,2021-08-27 19:20:18.571722
13081S,Unoccupied,2021-08-27 19:20:18.571722
15020E,Unoccupied,2021-08-27 19:20:18.571722
3926N,Present,2021-08-27 19:20:18.571722
12531S,Unoccupied,2021-08-27 19:20:18.571722
12107W,Unoccupied,2021-08-27 19:20:18.571722
C5542,Unoccupied,2021-08-27 19:20:18.571722
C1124,Unoccupied,2021-08-27 19:20:18.571722
10197W,Unoccupied,2021-08-27 19:20:18.571722
12341S,Unoccupied,2021-08-27 19:20:18.571722
12345S,Unoccupied,2021-08-27 19:20:18.571722
C6620,Unoccupied,2021-08-27 19:20:18.571722
6625S,Unoccupied,2021-08-27 19:20:18.571722
5830E,Unoccupied,2021-08-27 19:20:18.571722
13050N,Present,2021-08-27 19:20:18.571722
4458E,Unoccupied,2021-08-27 19:20:18.571722
C6928,Unoccupied,2021-08-27 19:20:18.571722
6621S,Present,2021-08-27 19:20:18.571722
1114E,Unoccupied,2021-08-27 19:20:18.571722
C5454,Unoccupied,2021-08-27 19:20:18.571722
12545S,Unoccupied,2021-08-27 19:20:18.571722
C7180,Unoccupied,2021-08-27 19:20:18.571722
C7194,Unoccupied,2021-08-27 19:20:18.571722
8905W,Unoccupied,2021-08-27 19:20:18.571722
4460E,Unoccupied,2021-08-27 19:20:18.571722
15195S,Unoccupied,2021-08-27 19:20:18.571722
C6978,Present,2021-08-27 19:20:18.571722
6581S,Unoccupied,2021-08-27 19:20:18.571722
C7692,Unoccupied,2021-08-27 19:20:18.571722
C1121,Unoccupied,2021-08-27 19:20:18.571722
989W,Unoccupied,2021-08-27 19:20:18.571722
12562N,Unoccupied,2021-08-27 19:20:18.571722
7650N,Unoccupied,2021-08-27 19:20:18.571722
C7240,Unoccupied,2021-08-27 19:20:18.571722
8877W,Present,2021-08-27 19:20:18.571722
4484E,Unoccupied,2021-08-27 19:20:18.571722
C100,Unoccupied,2021-08-27 19:20:18.571722
2441S,Unoccupied,2021-08-27 19:20:18.571722
8897W,Unoccupied,2021-08-27 19:20:18.571722
8873W,Present,2021-08-27 19:20:18.571722
C7234,Unoccupied,2021-08-27 19:20:18.571722
9512N,Present,2021-08-27 19:20:18.571722
C6932,Unoccupied,2021-08-27 19:20:18.571722
7582N,Present,2021-08-27 19:20:18.571722
985W,Unoccupied,2021-08-27 19:20:18.571722
4486E,Unoccupied,2021-08-27 19:20:18.571722
C7224,Unoccupied,2021-08-27 19:20:18.571722
12083W,Unoccupied,2021-08-27 19:20:18.571722
10055S,Unoccupied,2021-08-27 19:20:18.571722
C6878,Unoccupied,2021-08-27 19:20:18.571722
C6834,Unoccupied,2021-08-27 19:20:18.571722
1892N,Unoccupied,2021-08-27 19:20:18.571722
5415W,Unoccupied,2021-08-27 19:20:18.571722
2384N,Unoccupied,2021-08-27 19:20:18.571722
C116,Present,2021-08-27 19:20:18.571722
6542N,Present,2021-08-27 19:20:18.571722
910E,Unoccupied,2021-08-27 19:20:18.571722
C1118,Unoccupied,2021-08-27 19:20:18.571722
987W,Unoccupied,2021-08-27 19:20:18.571722
C6976,Unoccupied,2021-08-27 19:20:18.571722
5143W,Unoccupied,2021-08-27 19:20:18.571722
C1104,Present,2021-08-27 19:20:18.571722
11521S,Present,2021-08-27 19:20:18.571722
C5550,Unoccupied,2021-08-27 19:20:18.571722
6619S,Present,2021-08-27 19:20:18.571722
C6908,Present,2021-08-27 19:20:18.571722
8903W,Present,2021-08-27 19:20:18.571722
13087S,Unoccupied,2021-08-27 19:20:18.571722
C5904,Unoccupied,2021-08-27 19:20:18.571722
981W,Unoccupied,2021-08-27 19:20:18.571722
13272N,Unoccupied,2021-08-27 19:20:18.571722
10177W,Present,2021-08-27 19:20:18.571722
6229W,Unoccupied,2021-08-27 19:20:18.571722
12015W,Unoccupied,2021-08-27 19:20:18.571722
13054N,Present,2021-08-27 19:20:18.571722
C6984,Unoccupied,2021-08-27 19:20:18.571722
11985W,Unoccupied,2021-08-27 19:20:18.571722
8885W,Unoccupied,2021-08-27 19:20:18.571722
9453S,Present,2021-08-27 19:20:18.571722
3936N,Unoccupied,2021-08-27 19:20:18.571722
5117W,Present,2021-08-27 19:20:18.571722
C7184,Unoccupied,2021-08-27 19:20:18.571722
7552N,Present,2021-08-27 19:20:18.571722
C1136,Unoccupied,2021-08-27 19:20:18.571722
C5554,Unoccupied,2021-08-27 19:20:18.571722
10199W,Present,2021-08-27 19:20:18.571722
8895W,Present,2021-08-27 19:20:18.571722
12551S,Unoccupied,2021-08-27 19:20:18.571722
10141W,Unoccupied,2021-08-27 19:20:18.571722
C6826,Unoccupied,2021-08-27 19:20:18.571722
4474E,Unoccupied,2021-08-27 19:20:18.571722
87W,Unoccupied,2021-08-27 19:20:18.571722
C6114,Unoccupied,2021-08-27 19:20:18.571722
C664,Unoccupied,2021-08-27 19:20:18.571722
4462E,Unoccupied,2021-08-27 19:20:18.571722
4464E,Unoccupied,2021-08-27 19:20:18.571722
671W,Unoccupied,2021-08-27 19:20:18.571722
C6138,Unoccupied,2021-08-27 19:20:18.571722
C6962,Present,2021-08-27 19:20:18.571722
C7236,Unoccupied,2021-08-27 19:20:18.571722
7558N,Unoccupied,2021-08-27 19:20:18.571722
15160N,Unoccupied,2021-08-27 19:20:18.571722
983W,Present,2021-08-27 19:20:18.571722
C6986,Unoccupied,2021-08-27 19:20:18.571722
10195W,Present,2021-08-27 19:20:18.571722
6538N,Present,2021-08-27 19:20:18.571722
8889W,Present,2021-08-27 19:20:18.571722
C6296,Present,2021-08-27 19:20:18.571722
C5862,Unoccupied,2021-08-27 19:20:18.571722
6576N,Present,2021-08-27 19:20:18.571722
C6900,Unoccupied,2021-08-27 19:20:18.571722
3953S,Present,2021-08-27 19:20:18.571722
8875W,Unoccupied,2021-08-27 19:20:18.571722
11969W,Present,2021-08-27 19:20:18.571722
7082N,Unoccupied,2021-08-27 19:20:18.571722
5836E,Unoccupied,2021-08-27 19:20:18.571722
5435W,Unoccupied,2021-08-27 19:20:18.571722
C6954,Unoccupied,2021-08-27 19:20:18.571722
11971W,Unoccupied,2021-08-27 19:20:18.571722
C6852,Unoccupied,2021-08-27 19:20:18.571722
5119W,Present,2021-08-27 19:20:18.571722
12069W,Present,2021-08-27 19:20:18.571722
6239W,Unoccupied,2021-08-27 19:20:18.571722
5838E,Unoccupied,2021-08-27 19:20:18.571722
2394N,Unoccupied,2021-08-27 19:20:18.571722
12555S,Unoccupied,2021-08-27 19:20:18.571722
C6844,Unoccupied,2021-08-27 19:20:18.571722
C9102,Unoccupied,2021-08-27 19:20:18.571722
13028N,Unoccupied,2021-08-27 19:20:18.571722
13034N,Unoccupied,2021-08-27 19:20:18.571722
C6120,Unoccupied,2021-08-27 19:20:18.571722
C7222,Unoccupied,2021-08-27 19:20:18.571722
C7148,Unoccupied,2021-08-27 19:20:18.571722
973W,Unoccupied,2021-08-27 19:20:18.571722
6676N,Present,2021-08-27 19:20:18.571722
C6854,Unoccupied,2021-08-27 19:20:18.571722
C6632a,Present,2021-08-27 19:20:18.571722
C6616,Unoccupied,2021-08-27 19:20:18.571722
12556N,Unoccupied,2021-08-27 19:20:18.571722
C6628,Unoccupied,2021-08-27 19:20:18.571722
C7230,Unoccupied,2021-08-27 19:20:18.571722
11955W,Unoccupied,2021-08-27 19:20:18.571722
4456E,Unoccupied,2021-08-27 19:20:18.571722
15152N,Unoccupied,2021-08-27 19:20:18.571722
12536N,Unoccupied,2021-08-27 19:20:18.571722
C6876,Unoccupied,2021-08-27 19:20:18.571722
11977W,Unoccupied,2021-08-27 19:20:18.571722
12553S,Unoccupied,2021-08-27 19:20:18.571722
C826,Unoccupied,2021-08-27 19:20:18.571722
7567S,Present,2021-08-27 19:20:18.571722
15008E,Unoccupied,2021-08-27 19:20:18.571722
13085S,Unoccupied,2021-08-27 19:20:18.571722
975W,Unoccupied,2021-08-27 19:20:18.571722
9427S,Unoccupied,2021-08-27 19:20:18.571722
11979W,Unoccupied,2021-08-27 19:20:18.571722
6627S,Unoccupied,2021-08-27 19:20:18.571722
9445S,Present,2021-08-27 19:20:18.571722
5121W,Unoccupied,2021-08-27 19:20:18.571722
6629S,Unoccupied,2021-08-27 19:20:18.571722
977W,Unoccupied,2021-08-27 19:20:18.571722
C6890,Unoccupied,2021-08-27 19:20:18.571722
979W,Unoccupied,2021-08-27 19:20:18.571722
12566N,Unoccupied,2021-08-27 19:20:18.571722
11949W,Unoccupied,2021-08-27 19:20:18.571722
13083S,Unoccupied,2021-08-27 19:20:18.571722
C5494,Unoccupied,2021-08-27 19:20:18.571722
C5566,Unoccupied,2021-08-27 19:20:18.571722
C6996,Present,2021-08-27 19:20:18.571722
12902N,Present,2021-08-27 19:20:18.571722
12538N,Unoccupied,2021-08-27 19:20:18.571722
9457S,Present,2021-08-27 19:20:18.571722
7087S,Unoccupied,2021-08-27 19:20:18.571722
11523S,Unoccupied,2021-08-27 19:20:18.571722
11506N,Present,2021-08-27 19:20:18.571722
6179W,Unoccupied,2021-08-27 19:20:18.571722
12547S,Unoccupied,2021-08-27 19:20:18.571722
C5558,Unoccupied,2021-08-27 19:20:18.571722
C6038,Present,2021-08-27 19:20:18.571722
12546N,Present,2021-08-27 19:20:18.571722
C5486,Present,2021-08-27 19:20:18.571722
690E,Present,2021-08-27 19:20:18.571722
