Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2020,57,Melbourne (CBD),,26,0,88,226,,18,0,29,492,38,,0,113,0,50,0,49,0,,1155
2020,58,Melbourne (CBD),93,0,0,,35,0,,0,,412,0,0,4,26,,0,0,52,,0,939
2020,61,Melbourne (CBD),42,0,0,0,0,0,,,0,341,,,,14,,,0,25,,0,511
2020,62,Melbourne (CBD),,0,0,,1168,0,44,,,185,,0,0,48,408,,0,,0,0,2105
2020,63,Melbourne (CBD),0,,0,0,172,0,72,0,,53,,,0,17,248,0,0,,0,,796
2020,64,Melbourne (CBD),,66,0,,679,,139,,19,337,29,0,,47,0,,0,193,0,0,1560
2020,65,Melbourne (CBD),,,0,,,0,,0,,668,13,0,0,112,0,23,0,1066,,0,2040
2020,66,Melbourne (CBD),,58,0,,38,,57,,,636,,,0,40,0,,0,86,,,1013
2020,67,Melbourne (CBD),72,,0,156,17,0,147,0,,304,11,,0,26,0,0,0,16,0,0,762
2020,68,Melbourne (CBD),54,0,0,,81,0,,0,,158,,,0,83,552,764,0,,0,,2186
2020,71,Melbourne (CBD),,0,0,0,32,,,0,0,23,0,0,0,,0,,0,0,0,,117
2020,72,Melbourne (CBD),0,,0,0,553,,,0,0,188,40,0,29,18,,81,0,23,0,0,1432
2020,73,Melbourne (CBD),0,0,0,0,132,0,0,0,0,14,0,0,0,,843,,0,0,0,0,993
2020,74,Melbourne (CBD),,175,0,,392,,57,0,50,297,,,,126,0,41,0,43,0,,1386
2020,76,Melbourne (CBD),0,228,0,67,,0,,0,34,424,181,,,110,,21,0,622,,0,4756
2020,77,Melbourne (CBD),128,,,0,58,,175,0,103,83,,0,0,41,,0,0,,0,0,1903
2020,78,Melbourne (CBD),0,,0,,0,0,0,0,1318,98,43,,,6,5326,,0,18,0,0,14125
2020,81,Melbourne (CBD),,0,0,0,,0,366,0,,57,0,0,0,0,0,0,0,,0,0,477
2020,82,Melbourne (CBD),0,273,0,0,1625,,174,,444,62,258,51,0,87,338,36,0,,104,0,3515
2020,83,Melbourne (CBD),0,0,0,,,0,,0,0,52,0,0,0,,,0,0,,0,0,742
2020,84,Melbourne (CBD),,,0,,216,,,,,117,0,0,0,136,0,30,0,21,0,0,759
2020,85,Melbourne (CBD),,91,0,,378,87,0,,2443,1220,120,843,,549,257,,0,1294,,0,7477
2020,86,Melbourne (CBD),0,0,0,,0,0,0,0,0,30,0,,0,65,0,0,0,,0,0,468
2020,87,Melbourne (CBD),,0,0,0,,42,95,,5,62,0,0,,,,,,0,0,,4366
2020,88,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,57
2020,91,West Melbourne (Residential),0,,0,0,43,0,,,,27,29,,,14,0,0,0,9,0,17,238
2020,92,West Melbourne (Residential),0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2020,93,Melbourne (CBD),62,,0,,718,0,109,0,831,72,,0,0,99,,,0,8,,0,2343
2020,94,Melbourne (CBD),,,0,0,477,,281,0,,34,,,0,113,,37,0,31,0,0,3330
2020,95,Melbourne (CBD),,,0,,20,,246,0,,211,22,0,0,21,0,,0,10,0,0,606
2020,96,Melbourne (CBD),0,0,0,39,0,0,1055,0,,31,0,,0,,0,0,0,0,0,0,1173
2020,97,Melbourne (CBD),0,0,0,,54,,64,0,,8,,0,0,14,0,,0,,,0,231
2020,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2020,101,West Melbourne (Residential),0,0,0,0,0,,,,0,,,0,,136,0,0,0,0,0,0,316
2020,103,Melbourne (CBD),206,0,0,,26,,0,0,0,29,,0,0,132,0,36,,,0,0,453
2020,104,Melbourne (CBD),,,0,0,,0,57,,0,135,0,0,0,15,0,18,,,,0,299
2020,105,Melbourne (CBD),,0,0,,,0,838,0,0,81,0,0,0,0,0,,,24,,0,1067
2020,107,Melbourne (CBD),,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,39
2020,111,West Melbourne (Residential),,,0,,85,0,0,0,,0,0,0,0,,,,0,,0,,185
2020,113,Melbourne (CBD),0,,0,0,,0,0,,0,177,,0,20,,,,0,495,21,0,784
2020,114,Melbourne (CBD),,0,0,,,57,,0,0,181,0,0,0,,,0,0,41,0,0,359
2020,115,Melbourne (CBD),67,,0,,,332,115,0,0,76,0,,0,9,,,,55,,0,1431
2020,116,Melbourne (CBD),0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,51
2020,125,Melbourne (CBD),0,0,0,,0,0,0,0,0,,,0,0,,0,0,0,,0,0,56
2020,131,Docklands,,,,,,0,45,0,,74,,0,0,,4324,278,0,,,0,5305
2020,201,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2020,202,Carlton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,203,Carlton,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,33
2020,204,Carlton,,0,0,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,159
2020,205,Carlton,,0,0,0,0,0,,0,0,22,858,,0,0,0,0,0,,0,0,909
2020,206,Carlton,6,0,0,,9,0,0,0,29,58,0,,0,16,0,,0,51,0,0,187
2020,207,Carlton,,0,0,0,0,0,,,0,87,,0,0,,0,0,0,50,0,0,159
2020,208,Carlton,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,5
2020,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2020,210,Carlton,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2020,212,Carlton,8,0,0,,0,0,0,0,0,18,,0,0,0,,0,0,,0,0,293
2020,213,Carlton,0,0,0,,0,0,,,0,0,,0,0,,0,0,0,0,0,0,56
2020,214,Carlton,,,0,0,36,0,0,0,0,,,0,,,0,0,0,18,0,,81
2020,215,Carlton,13,0,0,,0,0,0,0,0,32,,,0,,,0,0,9,,0,71
2020,216,Carlton,0,0,0,0,,0,0,0,0,19,0,0,,48,0,0,,31,0,0,106
2020,217,Carlton,0,,0,6,,,0,0,0,178,25,,,23,0,0,0,205,0,0,555
2020,218,Carlton,,16,0,27,76,,,0,25,123,31,0,28,59,0,,0,33,0,0,447
2020,219,Carlton,4,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,0,0,34
2020,220,Carlton,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,21
2020,221,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,222,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2020,223,Carlton,,0,0,0,18,0,0,0,0,8,16,0,0,,0,,0,,0,0,63
2020,224,Carlton,,0,0,0,,0,0,0,0,,16,0,83,,0,,0,8,0,0,161
2020,225,Carlton,0,0,0,,,0,0,0,,16,0,0,0,,0,0,0,,0,0,37
2020,226,Carlton,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24
2020,227,Carlton,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,
2020,228,Carlton,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,118
2020,229,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2020,230,Carlton,0,0,0,,0,0,0,0,0,,,0,0,,0,0,0,,0,,25
2020,231,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2020,232,Carlton,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,29
2020,233,Carlton,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,234,Carlton,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,18
2020,235,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,236,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
2020,237,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2020,238,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,239,Carlton,,0,0,0,584,0,77,0,,,59,,0,,,0,0,,0,0,773
2020,240,Carlton,,0,0,0,,0,604,0,0,20,0,0,0,0,0,0,0,,0,0,640
2020,241,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2020,242,Carlton,,0,0,,,0,976,0,0,,0,0,0,0,0,0,0,0,0,0,1088
2020,243,Carlton,,,0,0,34,0,103,0,0,49,,,0,0,0,0,0,,0,0,239
2020,244,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,245,Carlton,,,0,0,73,,,0,,82,,0,0,,0,,0,,0,,241
2020,246,Carlton,,0,0,,,0,,0,0,129,,0,0,,0,,0,,0,0,176
2020,247,Carlton,,0,0,0,146,44,,0,,59,20,,0,41,,0,0,17,0,0,925
2020,248,Carlton,3,0,0,0,,0,,0,0,,,0,0,,0,0,0,0,0,0,106
2020,249,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,250,Carlton,0,0,0,,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,583
2020,251,Carlton,0,0,0,0,,0,0,0,180,,386,0,,132,0,,0,,0,,814
2020,252,Carlton,6,0,0,0,23,,0,,,118,27,0,0,19,0,,0,10,0,,235
2020,253,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,254,Carlton,0,10,0,0,71,0,,0,0,67,47,0,0,109,0,0,0,8,,0,324
2020,255,Carlton,14,,0,0,16,0,,0,0,22,,0,0,53,,0,0,,0,,331
2020,256,Carlton,19,0,0,0,0,,0,0,0,10,,0,0,0,,0,0,,0,0,332
2020,257,Carlton,17,0,0,0,,0,,,0,70,,0,0,,0,0,0,,0,,674
2020,258,Carlton,,0,0,0,,0,,0,0,,,,,0,0,0,0,0,0,0,225
2020,259,Carlton,,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,0,0,214
2020,260,Carlton,31,0,0,,0,,0,0,0,19,,0,,,0,0,,23,,0,110
2020,261,Carlton,0,0,0,0,,0,,0,0,,0,,0,211,0,0,0,67,0,0,345
2020,262,Carlton,0,0,0,0,27,0,0,0,0,,0,0,0,,0,0,0,0,0,0,44
2020,263,Carlton,,0,0,0,104,0,,0,0,31,,0,0,385,,,0,,0,0,1184
2020,264,Carlton,,0,0,,,0,,0,0,,,0,,0,0,0,0,,0,,175
2020,265,Carlton,111,,0,0,,0,179,0,0,78,0,,,9,,,0,,0,0,600
2020,266,Carlton,4,0,0,0,,0,262,0,0,26,,0,,0,0,0,0,0,0,0,343
2020,267,Carlton,,0,0,,62,0,0,0,,,,,,130,0,,0,,,0,273
2020,268,Carlton,,,0,,60,0,0,0,,,34,0,0,,0,0,0,0,0,0,146
2020,269,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,270,Parkville,0,,0,48,0,0,3085,0,,251,0,0,0,,0,0,0,13,,0,3407
2020,271,Parkville,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,789
2020,272,Parkville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,273,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,5
2020,274,Carlton,0,,0,154,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,183
2020,301,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,4
2020,302,North Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
2020,303,North Melbourne,0,0,0,0,0,0,,0,0,,46,0,0,0,0,0,0,0,0,0,70
2020,304,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,
2020,305,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,306,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,307,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,308,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,309,North Melbourne,0,,0,0,,,0,0,,,0,,0,16,0,0,,0,0,,257
2020,310,North Melbourne,0,0,0,0,,0,0,0,0,,0,0,106,0,0,0,0,0,0,,142
2020,311,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2020,312,North Melbourne,0,,0,0,79,0,0,,0,,0,0,0,0,0,0,0,0,0,,89
2020,313,North Melbourne,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,230
2020,314,North Melbourne,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,155
2020,315,North Melbourne,0,0,0,267,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,268
2020,316,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,317,North Melbourne,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2020,318,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,
2020,319,North Melbourne,0,0,0,0,0,0,0,0,0,15,0,,0,4,0,0,0,134,,0,229
2020,320,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,321,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,322,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,63
2020,323,North Melbourne,0,,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,169
2020,324,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,325,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,326,North Melbourne,0,0,0,,0,0,0,0,0,8,0,0,0,,0,0,0,,0,0,15
2020,327,North Melbourne,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,11
2020,328,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,329,North Melbourne,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,78
2020,330,North Melbourne,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2020,331,North Melbourne,0,0,0,0,,0,0,0,0,0,0,,0,19,0,0,0,,0,,50
2020,332,North Melbourne,0,0,0,,,,0,0,,0,0,0,7,10,0,0,0,0,0,0,25
2020,333,North Melbourne,0,0,0,0,0,0,,0,,,0,0,0,,0,,0,18,0,,122
2020,334,North Melbourne,0,0,0,0,22,0,0,0,,,0,0,,,0,0,0,,0,0,55
2020,335,North Melbourne,0,,0,0,80,,,0,19,,,0,,,0,,0,,0,,197
2020,336,North Melbourne,0,0,0,0,49,,0,0,0,0,0,,0,,0,0,0,0,0,,61
2020,337,North Melbourne,0,0,0,0,46,,,,0,0,0,,,,0,0,0,35,0,,205
2020,338,North Melbourne,0,0,0,0,0,,0,0,0,0,,0,49,0,0,0,0,0,0,0,80
2020,339,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020,340,North Melbourne,0,0,0,0,,0,0,0,0,0,,0,0,9,0,0,0,0,0,0,12
2020,341,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,,0,,76
2020,342,North Melbourne,0,0,0,,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2020,343,North Melbourne,0,0,0,0,,,,0,0,0,0,0,,,0,0,0,,0,,70
2020,344,North Melbourne,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,60
2020,345,North Melbourne,0,,0,14,30,0,,,20,69,24,0,0,25,0,,0,48,,0,269
2020,346,North Melbourne,0,0,0,0,,0,0,0,,31,,0,,,0,,0,20,,0,91
2020,347,North Melbourne,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,10
2020,348,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,349,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,350,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,351,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,352,North Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2020,353,North Melbourne,24,0,0,0,0,0,0,0,0,,123,0,,,0,0,0,,0,0,160
2020,354,North Melbourne,,0,0,,54,0,38,0,0,89,15,,0,17,0,,0,58,,10,347
2020,355,North Melbourne,,,,0,57,,0,0,,,,0,,15,0,,0,,,0,162
2020,356,North Melbourne,0,,0,0,16,0,,0,0,22,0,,,13,0,0,0,21,0,,94
2020,357,North Melbourne,,0,0,0,,0,,0,,19,169,0,0,106,0,0,0,0,,,403
2020,358,North Melbourne,0,0,0,0,,,,0,0,16,0,0,0,12,0,0,0,10,,0,319
2020,359,North Melbourne,0,,0,0,27,,,,0,,14,0,0,,,0,0,,,0,81
2020,360,North Melbourne,0,0,0,0,0,0,,0,0,11,0,0,,,0,0,0,,0,,50
2020,361,North Melbourne,,9,0,0,13,0,0,0,0,21,0,,0,32,,0,0,,0,0,131
2020,362,North Melbourne,,,0,,,0,,0,0,31,,0,0,159,0,0,0,107,0,0,396
2020,363,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2020,364,North Melbourne,,,0,,0,0,0,0,0,0,0,,0,6,0,,,,0,0,65
2020,365,North Melbourne,0,0,0,,70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2020,366,North Melbourne,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2020,367,North Melbourne,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,13
2020,368,North Melbourne,,0,0,0,0,0,0,0,0,0,0,0,,14,0,0,0,0,0,0,30
2020,369,North Melbourne,0,0,0,0,29,0,0,0,0,7,,0,0,10,0,,0,,,0,62
2020,370,North Melbourne,0,0,0,0,,0,0,,0,,0,0,0,0,0,,0,0,,,36
2020,371,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,372,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,373,North Melbourne,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2020,374,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,375,North Melbourne,0,0,0,0,36,,,0,0,,,0,0,50,,0,0,,0,0,273
2020,376,North Melbourne,0,,0,45,9,0,0,,0,30,485,,0,5,,0,0,15,,0,703
2020,377,North Melbourne,0,,0,0,395,0,,0,0,18,131,0,,37,0,0,0,,0,0,639
2020,378,North Melbourne,,0,0,,,0,0,0,0,15,210,0,0,,0,0,0,,0,0,252
2020,379,North Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,380,North Melbourne,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,401,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020,402,West Melbourne (Residential),0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,403,West Melbourne (Residential),0,,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,,,168
2020,404,West Melbourne (Residential),0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,23
2020,405,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
2020,406,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,407,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,408,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,409,West Melbourne (Residential),0,0,0,,0,0,,,0,,0,0,0,,0,0,0,,,0,18
2020,410,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2020,411,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,412,West Melbourne (Residential),0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,22
2020,413,West Melbourne (Residential),0,0,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,,105
2020,414,West Melbourne (Residential),,,0,0,32,0,,0,,,0,0,0,,0,0,0,0,0,0,72
2020,415,West Melbourne (Residential),0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2020,416,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,418,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,39
2020,419,West Melbourne (Residential),0,,0,0,44,,0,,0,,,0,0,,0,0,0,0,0,0,113
2020,420,West Melbourne (Residential),,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,93
2020,421,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020,422,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,423,West Melbourne (Residential),0,0,0,,0,0,0,0,0,31,,0,0,,0,0,0,,0,0,52
2020,424,West Melbourne (Residential),0,,0,0,,0,0,0,0,23,30,0,,,0,0,0,,0,0,74
2020,425,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2020,426,West Melbourne (Residential),0,0,0,0,75,0,0,0,0,0,,0,0,,,0,0,,,0,197
