Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2020,1,Melbourne (CBD),0,,0,,,0,0,,,53,0,0,0,3,0,0,,,,0,764
2020,2,Melbourne (CBD),0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
2020,4,Melbourne (CBD),0,0,0,58,0,0,,0,0,146,,0,0,,,0,0,47,347,0,653
2020,5,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,5
2020,6,Melbourne (CBD),0,,0,193,0,0,0,0,0,297,0,,0,,,37,,32,,0,843
2020,11,Melbourne (CBD),167,45,0,15,208,,0,0,,187,,,,54,0,48,0,,,0,824
2020,12,Melbourne (CBD),70,550,0,,1130,0,198,,325,181,,,0,11,,0,0,14,,0,3599
2020,13,Melbourne (CBD),0,603,,,631,,32,,309,25,,50,,30,0,,0,11,,0,2527
2020,14,Melbourne (CBD),119,148,,,417,46,449,,116,384,22,23,,167,24,46,0,70,,33,2121
2020,15,Melbourne (CBD),47,141,,136,216,,371,0,56,446,66,83,32,225,,,0,294,0,,2139
2020,16,Melbourne (CBD),,,0,88,250,0,,0,26,143,,0,0,61,,,0,58,0,0,821
2020,17,Melbourne (CBD),,,0,,401,0,,0,651,553,0,0,17,23,,,,39,,,2124
2020,18,Melbourne (CBD),,0,0,0,2921,27,,0,624,125,0,,0,11,2204,444,0,20,,0,6459
2020,21,Melbourne (CBD),,477,0,,768,433,0,,116,96,,,,,1267,189,0,,,0,4892
2020,22,Melbourne (CBD),,347,,,2429,154,,,790,255,0,0,,63,117,270,0,12,71,,4883
2020,23,Melbourne (CBD),,92,,,1112,0,39,0,58,97,61,,0,104,,281,0,26,0,,2211
2020,24,Melbourne (CBD),0,723,,536,2138,177,351,64,1535,246,173,1088,,220,,147,0,52,35,,7580
2020,25,Melbourne (CBD),,286,0,37,432,,466,0,164,263,124,,26,236,0,163,0,354,,134,3457
2020,26,Melbourne (CBD),,15,,,682,,0,88,1365,226,45,,,,0,,0,114,0,,4000
2020,27,Melbourne (CBD),,98,22,13,2271,100,,,1920,232,58,0,0,71,,365,0,174,0,,5903
2020,28,Melbourne (CBD),,175,,0,1300,107,0,0,863,282,130,,20,63,1120,79,0,61,,,4538
2020,31,Melbourne (CBD),75,269,0,,353,38,343,,75,138,189,,,42,0,,0,87,,,1706
2020,32,Melbourne (CBD),,226,36,0,2577,,50,,2143,131,53,29,,215,456,206,0,23,322,0,6966
2020,33,Melbourne (CBD),49,377,15,44,1521,77,393,,288,295,136,,18,173,,52,0,23,,,3556
2020,34,Melbourne (CBD),,712,61,,1773,26,147,,3341,265,86,,21,266,,399,0,177,12,22,7390
2020,35,Melbourne (CBD),,101,0,12,136,19,96,,45,231,373,0,153,260,0,1,0,513,0,63,2173
2020,36,Melbourne (CBD),39,52,0,,104,0,0,,1209,158,,,5,191,155,0,0,71,0,0,2023
2020,37,Melbourne (CBD),115,177,,,628,103,0,,1890,159,44,121,,32,1118,374,0,33,0,40,5330
2020,38,Melbourne (CBD),,,0,0,580,55,6,0,636,190,382,,47,174,199,39,0,44,,,2544
2020,41,Melbourne (CBD),,24,0,0,530,,,0,,56,132,,0,8,,,0,,,0,2007
2020,42,Melbourne (CBD),0,343,,,1583,,558,,706,171,47,,111,121,1227,194,0,22,0,27,5253
2020,43,Melbourne (CBD),,314,,,1983,128,236,,721,84,52,113,,275,65,168,0,64,0,0,4785
2020,44,Melbourne (CBD),0,128,0,0,750,19,,,2225,179,23,0,5,36,,233,0,132,0,,3794
2020,45,Melbourne (CBD),,,0,,37,0,,0,,117,,,,39,,858,0,887,0,,2109
2020,46,Melbourne (CBD),,,0,9,191,0,,,,306,157,49,0,182,1112,0,0,143,0,0,2441
2020,47,Melbourne (CBD),,0,0,0,0,0,0,0,24,192,,0,,46,4687,,0,60,,0,7837
2020,48,Melbourne (CBD),,16,0,32,446,,,,41,319,67,0,,130,,,,39,0,,1457
2020,51,Melbourne (CBD),,0,0,,466,,158,0,,135,,0,0,137,0,377,0,22,,0,1838
2020,52,Melbourne (CBD),0,410,0,,5818,,0,0,2365,208,97,,,33,911,114,0,56,,,10753
2020,53,Melbourne (CBD),55,344,0,0,991,38,44,,3995,219,94,,61,83,41,31,0,8,,,6026
2020,54,Melbourne (CBD),0,125,,21,684,,249,0,33,361,51,,,227,0,27,0,159,,0,1982
2020,55,Melbourne (CBD),,,0,,134,0,0,0,37,154,,0,0,17,0,,0,1685,0,0,2243
2020,56,Melbourne (CBD),0,47,0,18,141,,429,0,46,504,,81,17,51,,0,0,286,,,1831
